Marché_National_Produit,Catégorie_Produit,Type_Produit,Code_Référence,Date_Dernière_Mise_A_Jour_Du_Dossier,Nom_Marque_Produit,Nom_Sous-type_Marque_Produit,Filtre_Produit,Unités_Conditionnement_Produit,Poids_NET_Conditionnement_Produit,Type_Conditionnement_Produit,Type_Numéro_Produit,Numéro_Produit,Date_Notification,Date_Lancement_Produit,Longueur_Produit,Diamètre_Produit,Poids_Produit,Poids_Tabac_Produit,Longueur_Filtre_Produit,Teneur_Totale_Nicotine_Tabac_Rouler_Pipe,Teneur_Nicotine_Base_Tabac_Rouler_Pipe,Teneur_Nicotine_Sans_Combusion,Teneur_Nicotine_Base_Sans_Combusion,pH_Sans_Combusion,Humidité_Sans_Combustion
FR,Produit du tabac,Cigarillo,NEOS CAPPRICCIO     ED NEOS [57DFAA9ABD605EF2],16/4/2020 13:34:00,NEOS CAPPRICCIO     ED,Neos,sans filtre,1000,NA,Boîte en métal à couvercle basculant,-,02006010127ED,14/11/2016 17:39:53,1/1/2006 00:00:00,84,7.5,95000,856.22,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS CAPPRICCIO     HL NEOS [762B9F1C03BFE3DB],16/4/2020 13:34:00,NEOS CAPPRICCIO     HL,Neos,sans filtre,1000,NA,Boîte en métal à couvercle basculant,-,02006010127HL,14/11/2016 17:39:53,1/1/2016 00:00:00,84,7.5,95000,856.22,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS CLASSIC NEOS [2479E7760746B33B],31/1/2020 10:01:00,NEOS CLASSIC,Neos,sans filtre,2000,NA,Boîte avec couvercle coulissant,-,02060020127,9/11/2016 09:40:21,1/1/2006 00:00:00,84,7.5,90000,811.28,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COSY            COR NEOS [052AEBAA3E2C738C],31/1/2020 10:01:00,NEOS COSY            COR,Neos,sans filtre,1000,NA,Boîte avec couvercle coulissant,-,02067010501,9/11/2016 09:40:21,1/1/2006 00:00:00,84,7.5,90000,811.28,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COSY NEOS [2500BA14D3D1BDC4],31/1/2020 10:01:00,NEOS COSY,Neos,sans filtre,1000,NA,Boîte avec couvercle coulissant,-,02067010127,9/11/2016 09:40:21,1/1/2006 00:00:00,84,7.5,90000,811.28,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY CIGL   HL NEOS [23E6E041562E124F],30/1/2020 21:22:00,NEOS COUNTRY CIGL   HL,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02011020127HL,14/11/2016 12:40:25,1/1/2006 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY CIGLOS  COR NEOS [307008AF27ACFE88],30/1/2020 21:22:00,NEOS COUNTRY CIGLOS  COR,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02011020501,14/11/2016 12:40:25,1/1/2006 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY CIGLOS NEOS [CE2726D8C17538A9],30/1/2020 21:22:00,NEOS COUNTRY CIGLOS,Neos,sans filtre,500,NA,Boîte avec couvercle coulissant,-,02011005127,14/11/2016 12:40:25,1/1/2006 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY CIGLOS NEOS [DDA65893A3025D0A],30/1/2020 21:22:00,NEOS COUNTRY CIGLOS,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02011020127,14/11/2016 12:40:25,1/1/2006 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY DISP NEOS [07008501C0C38424],30/1/2020 21:22:00,NEOS COUNTRY DISP,Neos,sans filtre,25000,NA,Boîte en métal à couvercle basculant,-,02906250127,14/11/2016 12:40:25,1/1/2006 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY DISP NEOS [7328D708580187BC],30/1/2020 21:22:00,NEOS COUNTRY DISP,Neos,sans filtre,25000,NA,Boîte en métal à couvercle basculant,-,02906250127,14/11/2016 09:25:44,1/1/2006 00:00:00,68.3,7.6,77000,769.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY MINI    COR NEOS [B3F26ED0123D2E26],30/1/2020 21:22:00,NEOS COUNTRY MINI    COR,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02012020501,9/11/2016 18:18:31,1/1/2006 00:00:00,81.2,7.7,93000,929.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY MINI   HL NEOS [87E107E8EBBD5C07],30/1/2020 21:22:00,NEOS COUNTRY MINI   HL,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02012020127HL,9/11/2016 18:18:31,1/1/2006 00:00:00,81.2,7.7,93000,929.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY MINI NEOS [F992FF77371DFD87],30/1/2020 21:22:00,NEOS COUNTRY MINI,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02012020127,9/11/2016 18:18:31,1/1/2006 00:00:00,81.2,7.7,93000,929.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY MINIAT NEOS [DFBA56C9B82438B3],30/1/2020 21:22:00,NEOS COUNTRY MINIAT,Neos,sans filtre,2000,NA,Boîte en métal à couvercle basculant,-,02087020127,14/11/2016 09:25:44,1/1/2006 00:00:00,68.3,7.6,77000,769.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY PACK NEOS [352FB12E9D5D31EE],30/1/2020 21:22:00,NEOS COUNTRY PACK,Neos,sans filtre,15000,NA,Boîte en métal à couvercle basculant,-,02910150127,14/11/2016 12:40:25,1/1/2017 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS COUNTRY PACK NEOS [9CC0F7FC029BF3C8],30/1/2020 21:22:00,NEOS COUNTRY PACK,Neos,sans filtre,15000,NA,Boîte avec couvercle coulissant,-,02917150127,14/11/2016 12:40:25,1/1/2019 00:00:00,104,9.1,158000,1579.07,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS EXO FILTER NEOS [AE2101444C831780],10/2/2020 16:13:00,NEOS EXO FILTER,Neos,filtre,1000,NA,Boîte pliante à couvercle basculant,-,02016010127,14/11/2016 16:49:17,1/1/2006 00:00:00,84,7.5,95000,650.85,18,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS EXO ROUGE FI NEOS [3D765C807BBCD220],10/2/2020 16:13:00,NEOS EXO ROUGE FI,Neos,filtre,1000,NA,Boîte pliante à couvercle basculant,-,02092010127,13/4/2018 14:29:47,1/1/2018 00:00:00,84,7.5,95000,619.23,18,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS EXO SILVER BLEU NEOS [4DEA9272BBC7E3A2],31/1/2020 10:01:00,NEOS EXO SILVER BLEU,Neos,sans filtre,1000,NA,Boîte pliante à couvercle basculant,-,02018010127,14/11/2016 15:57:02,1/1/2006 00:00:00,84,7.5,95000,858.47,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigarillo,NEOS EXOT CLASSIC NEOS [4ABB7B1788C57418],31/1/2020 10:01:00,NEOS EXOT CLASSIC,Neos,sans filtre,1000,NA,Boîte pliante à couvercle basculant,-,02017010127,9/11/2016 09:40:21,1/1/2006 00:00:00,84,7.5,90000,811.28,NA,NA,NA,NA,NA,NA,NA
