"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-06-29",5.44407755116057,0.97,11.7,1.44620406093783
"2020-06-30",5.54398256237059,0.99,11.3,1.41535650386387
"2020-07-01",5.48732001869924,1.01,11,1.34801497468809
"2020-07-02",5.61108294303403,1.03,10.8,1.31071139967119
"2020-07-03",5.86457326998481,1.04,10.5,1.31604924225947
"2020-07-04",5.88544894396899,1.05,10.2,1.30348344143406
"2020-07-05",5.71844355209554,1.07,10.3,1.26560556008409
"2020-07-06",5.72589914994703,1.08,10.3,1.24929645739867
"2020-07-07",5.49477561655073,1.09,10.1,1.17711697380316
"2020-07-08",5.59915398647164,1.1,9.9,1.17401717097817
"2020-07-09",5.77063273705599,1.12,9.6,1.16601385959626
"2020-07-10",5.92869141150765,1.13,9.3,1.1579278450194
"2020-07-11",5.92869141150765,1.15,9.3,1.14693520796855
"2020-07-12",5.94807596592154,1.16,9.4,1.15057240183792
"2020-07-13",6.24331764084068,1.17,9.2,1.16874344029834
"2020-07-14",5.66327212799448,1.19,9.2,1.22794198475257
"2020-07-15",5.89290454182048,1.21,9,1.22645315457903
"2020-07-16",6.29699794537143,1.24,9,1.25739909245739
"2020-07-17",6.45654773939339,1.27,8.9,1.23412102366491
"2020-07-18",6.59522185943117,1.3,8.9,1.23628638911017
"2020-07-19",6.70705582720358,1.33,8.9,1.24664641582227
"2020-07-20",6.94265271931077,1.36,8.7,1.25108825331313
"2020-07-21",8.30553600656379,1.39,8.5,1.26115967821183
"2020-07-22",8.77672979077818,1.41,8.3,1.30881728368159
"2020-07-23",9.03320235686956,1.42,8.1,1.33805710044926
"2020-07-24",9.50290502151365,1.42,7.6,1.40425485033107
"2020-07-25",9.77279766373772,1.42,7.3,1.4373941802423
"2020-07-26",9.88164939236952,1.41,7.3,1.44526445264453
"2020-07-27",10.4706416226375,1.4,7.4,1.50326363630525
"2020-07-28",10.8747350261885,1.39,7.1,1.51927055014968
"2020-07-29",11.3250531364187,1.38,7,1.52814441618646
"2020-07-30",11.9229920841084,1.37,7.1,1.56266184083754
"2020-07-31",12.4612862489863,1.37,6.9,1.59661152303786
"2020-08-01",12.7103032172262,1.36,6.8,1.61681303465412
"2020-08-02",12.689427543242,1.36,6.8,1.61063816095783
"2020-08-03",13.5691880897182,1.36,7.1,1.6984107727769
"2020-08-04",14.5309602125609,1.36,7.2,1.81632135747888
"2020-08-05",15.2586265628667,1.36,7.1,1.91759926241858
"2020-08-06",16.1697006203192,1.36,7.2,2.02260226321061
"2020-08-07",17.1568217758569,1.36,7.1,2.14555300295372
"2020-08-08",17.4729391247602,1.36,7.2,2.18135516550041
"2020-08-09",17.7577429626873,1.36,7.3,2.21534763974046
"2020-08-10",18.9730054124807,1.37,7.4,2.36156170424428
"2020-08-11",19.9884578398541,1.38,7.3,2.49982283985842
"2020-08-12",21.3751990402319,1.39,7,2.66789996166115
"2020-08-13",23.4374174059551,1.41,6.9,2.88349703358271
"2020-08-14",25.7978596857379,1.42,6.8,3.07990557875736
"2020-08-15",25.4444643475771,1.44,7,3.15264383106086
"2020-08-16",25.8142620010112,1.45,7,3.17418990500533
"2020-08-17",29.0708671425436,1.47,7.1,3.38590964192304
"2020-08-18",32.1112599463826,1.48,7.1,3.53755956849494
"2020-08-19",35.0278898258869,1.49,7.2,3.69132473475135
"2020-08-20",37.3957877035212,1.49,7.3,3.78415570580788
"2020-08-21",39.2671427642461,1.49,7.3,3.82304862504392
"2020-08-22",41.4575974130149,1.48,7.3,3.83269737640195
"2020-08-23",41.9302823167996,1.47,7.3,3.8707990061462
"2020-08-24",44.8543677941554,1.46,7.7,3.99929270179936
"2020-08-25",47.9380030655331,1.45,7.9,4.13473880241893
"2020-08-26",50.6652607596094,1.44,7.4,4.20933963491306
"2020-08-27",54.0530844233281,1.43,7.4,4.31214967501261
"2020-08-28",57.7585165555204,1.41,7.5,4.45211974230922
"2020-08-29",58.9260631790642,1.4,7.8,4.47750371066973
"2020-08-30",59.3898013654271,1.39,7.8,4.4953014286456
"2020-08-31",63.1220736498848,1.38,8,4.64642007667932
"2020-09-01",66.1893066059892,1.36,8.3,4.80224766265154
"2020-09-02",69.7620290964249,1.36,8.7,5.01011446641772
"2020-09-03",73.2855446410408,1.35,9.1,5.23653813985056
"2020-09-04",76.9686099796786,1.34,9.2,5.43159263791803
"2020-09-05",78.5059542566565,1.32,9.4,5.50108926770909
"2020-09-06",78.7355866704825,1.31,9.5,5.51737037006077
"2020-09-07",82.8853724346238,1.3,10.5,5.69044767257353
"2020-09-08",87.0679628293117,1.29,11.2,5.75118168557265
"2020-09-09",90.4468397756086,1.28,11.7,5.77388221878061
"2020-09-10",93.8540479937411,1.27,12,5.76566706574978
"2020-09-11",95.6314625215372,1.26,12.4,5.68372860537107
"2020-09-12",96.2875551324686,1.25,12.9,5.68785585433226
"2020-09-13",96.4262292525064,1.23,13.1,5.69434220119827
"2020-09-14",100.107803471574,1.22,13.9,5.78597511210241
"2020-09-15",102.899179307173,1.21,14.9,5.85065930982093
"2020-09-16",106.061843915777,1.2,15.7,5.99377777627971
"2020-09-17",108.578853750441,1.19,15.7,6.18487437783478
"2020-09-18",111.538726097484,1.18,16.2,6.4539842364787
"2020-09-19",112.609349948958,1.16,16.4,6.56358341061246
"2020-09-20",112.962745287119,1.14,16.5,6.58449626956479
"2020-09-21",114.291332824255,1.12,18,6.85796703616252
"2020-09-22",115.270998381941,1.1,18.7,7.20857737249896
"2020-09-23",114.595521216596,1.08,19.7,7.47430500984229
"2020-09-24",113.080543733173,1.06,20.6,7.68282366766793
"2020-09-25",111.608808717288,1.04,21.6,7.86819105926083
"2020-09-26",111.000431932606,1.02,21.8,7.91136079104043
"2020-09-27",110.378635071791,1.01,22,7.91560847550967
"2020-09-28",107.549981246935,1,22.9,7.92627042091312
"2020-09-29",105.450484891954,1,23.7,7.98764337469151
"2020-09-30",105.93062539359,1.02,24.4,8.18050754360227
"2020-10-01",108.771208175009,1.04,24.9,8.53406148838918
"2020-10-02",114.602976814448,1.07,25.1,9.04899434033129
"2020-10-03",118.209995055,1.1,25.5,9.30366837461595
"2020-10-04",119.095720079758,1.15,26.4,9.36247928110413
"2020-10-05",130.59076084719,1.19,27.9,10.1265895967125
"2020-10-06",140.833261175572,1.24,28,10.753133787984
"2020-10-07",151.840705843517,1.28,27.8,11.3642577743554
"2020-10-08",163.610112611885,1.32,28,11.8802736762552
"2020-10-09",175.337768032284,1.35,28.4,12.2557076673737
"2020-10-10",181.433464835665,1.37,28.8,12.4468704318801
"2020-10-11",183.280961983265,1.38,29.3,12.5089556856392
"2020-10-12",198.57835765496,1.39,30.4,12.9982031258388
"2020-10-13",211.867215265462,1.4,32.3,13.3460451048721
"2020-10-14",223.899059078202,1.4,32.9,13.5199623272469
"2020-10-15",238.042328202485,1.41,34.4,13.7728497824159
"2020-10-16",252.260153305283,1.41,35.4,14.0581905631669
"2020-10-17",258.176915760229,1.42,36.9,14.1707002073925
"2020-10-18",260.386754963411,1.43,38.3,14.2230913772025
"2020-10-19",280.563093869123,1.44,41.3,14.8709238647204
"2020-10-20",303.948322090118,1.45,42.9,15.7383365182311
"2020-10-21",330.612522246199,1.46,44.3,16.703241568374
"2020-10-22",358.96914311457,1.47,45.7,17.6743311868565
"2020-10-23",391.327928909622,1.47,48.1,18.6793844121495
"2020-10-24",406.005018840072,1.46,49.2,19.1405379528604
"2020-10-25",409.878947483708,1.45,50.9,19.2642065463822
"2020-10-26",444.793512222252,1.43,54.6,20.1714091348329
"2020-10-27",470.366212852875,1.4,57.5,20.7096473887836
"2020-10-28",485.548792317656,1.37,60,20.9880585528593
"2020-10-29",493.069999430243,1.33,62.2,21.1288943641543
"2020-10-30",497.729748087427,1.29,66.6,21.2023489282777
"2020-10-31",499.34463058206,1.25,68.1,21.1962149503133
"2020-11-01",498.778005145347,1.2,70.6,21.186202895393
"2020-11-02",500.54199959701,1.16,73.6,21.2185418407582
"2020-11-03",496.832094106107,1.11,76.5,21.1336652283422
"2020-11-04",486.510564440499,1.07,80.7,20.9477570878899
"2020-11-05",472.513425034105,1.02,83.5,20.5639420262769
"2020-11-06",452.080613562302,0.98,85.4,20.0784776007709
"2020-11-07",439.497055508551,0.93,87.2,19.8278251369649
"2020-11-08",435.629091343197,0.89,89.5,19.7790881886992
"2020-11-09",401.913386739172,0.84,92.5,18.9476836471152
"2020-11-10",369.293655019318,0.8,93.6,18.0230150719394
"2020-11-11",302.739024118606,0.76,94.7,17.5216271635794
"2020-11-12",287.027097206368,0.72,96.6,17.0859351769254
"2020-11-13",262.954462863466,0.69,96.6,16.575617495728
"2020-11-14",252.445052132001,0.66,96,16.3609638433126
"2020-11-15",249.89821990593,0.64,96.5,16.3035621694241
"2020-11-16",222.003846104352,0.62,96.9,15.6591759590567
"2020-11-17",196.987333073451,0.61,95.7,15.1516228925335
"2020-11-18",213.010903975881,0.6,94.1,14.8508809501038
"2020-11-19",182.046314979058,0.59,91.7,14.1137450839401
"2020-11-20",160.873908200387,0.58,90.3,13.4544996526881
"2020-11-21",153.474972892565,0.58,88.8,13.1683757348567
"2020-11-22",151.879474952345,0.57,88.8,13.0907184112647
"2020-11-23",132.529216288579,0.57,87.7,12.2401453189318
"2020-11-24",119.887504571586,0.57,84.6,11.7450708566637
"2020-11-25",111.893612555215,0.57,81.8,11.4321407079579
"2020-11-26",104.661682639266,0.57,79.2,11.1467547523385
"2020-11-27",98.7687780974456,0.57,76.5,10.9208658476869
"2020-11-28",97.0987241787111,0.58,74.4,10.8495643046369
"2020-11-29",96.6394593510591,NA,74,10.8243617451256
"2020-11-30",92.7670218269934,NA,73.9,10.7350413782155
"2020-12-01",NA,NA,71.1,NA
"2020-12-02",NA,NA,68.8,NA
"2020-12-03",NA,NA,67.5,NA
