"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Poids_NET_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Teneur_Totale_Nicotine_Tabac_Rouler_Pipe";"Teneur_Nicotine_Base_Tabac_Rouler_Pipe";"Teneur_Nicotine_Sans_Combusion";"Teneur_Nicotine_Base_Sans_Combusion";"pH_Sans_Combusion";"Humidité_Sans_Combustion"
"FR";"Produit du tabac";"Cigare";"ASYLUM INSIDOUS  [AEEF397A1EF73282]";28/4/2020 19:38:00;"Asylum Insidous";;"sans filtre";20.00;;"Fagot";"EAN";"7423834501223";30/11/2016 20:32:17;28/2/2017 00:00:00;101.60;17.46;13600.00;13585.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM13  [7B093AC44DC814FB]";26/8/2020 21:53:00;"Asylum13";;"sans filtre";20.00;;"Boîte avec couvercle coulissant";"EAN";"3743400330097";29/11/2016 02:25:43;3/3/2015 00:00:00;127.00;19.84;13600.00;13585.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"AVO HERITAGE ROBUSTO [83C17A2117F02507]";21/2/2020 10:58:00;"Avo";"Avo Heritage Robusto";"sans filtre";4.00;"82";"Boîte avec couvercle coulissant";"-";"103561";14/11/2016 19:07:07;20/5/2016 00:00:00;124.00;20.00;13100.00;13088.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO HERITAGE ROBUSTO [887C5B94E4A74151]";21/2/2020 10:58:00;"Avo";"Avo Heritage Robusto";"sans filtre";20.00;"489";"Boîte à couvercle basculant";"-";"57059";14/11/2016 19:07:07;19/4/2018 00:00:00;124.00;20.00;13100.00;13088.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO HERITAGE ROBUSTO [95C109F9DE4E4FC7]";21/2/2020 10:58:00;"Avo";"Avo Heritage Robusto";"sans filtre";20.00;"497";"Boîte à couvercle basculant";"-";"30170";14/11/2016 19:07:07;20/5/2016 00:00:00;124.00;20.00;13100.00;13088.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO IMPROVISATION LIMITED EDITION 2017 [4CFC4654130E7242]";20/2/2020 16:20:00;"Avo";"Avo Improvisation Limited Edition 2017";"sans filtre";16.00;"1477";"Boîte à glissière";"-";"105170";18/10/2017 09:48:38;1/7/2017 00:00:00;152.00;24.00;23000.00;22980.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO LIMITED EDITION 2014 [F07E90BA185E846D]";24/8/2020 11:30:00;"Avo";"Avo Limited Edition 2014";"sans filtre";16.00;"1291";"Boîte à couvercle basculant";"-";"50867";14/11/2016 19:49:45;20/5/2016 00:00:00;152.00;21.00;16063.00;16049.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO SYNCRO NICARAGUA ROBUSTO [653354C553BE94C1]";20/2/2020 16:06:00;"Avo";"Avo Syncro Nicaragua Robusto";"sans filtre";20.00;"520";"Boîte à couvercle basculant";"-";"57084";14/11/2016 13:52:27;20/5/2016 00:00:00;127.00;20.00;14050.00;14037.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"AVO XO PRELUDIO [5EAEA7E9F6151EF3]";16/3/2020 18:02:00;"Avo";"Avo XO Preludio";"sans filtre";20.00;"595";"Boîte à couvercle basculant";"-";"41831";14/11/2016 19:09:24;20/5/2016 00:00:00;152.00;16.00;9320.00;9312.00;"0";;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO GORDITO [B57588C564757F0A]";13/2/2020 14:04:00;"Balmoral Añejo";"Gordito";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497279";6/9/2016 14:16:30;7/9/2016 00:00:00;102.00;23.00;14900.00;14886.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO PETIT ROBUSTO FT [39C0F76A5359E63C]";13/2/2020 13:45:00;"Balmoral Añejo";"Petit Robusto FT";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497365";30/6/2016 11:02:32;24/3/2015 00:00:00;120.00;19.20;10500.00;10486.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO ROTHSCHILD MASIVO [A49FD3B16D81F539]";26/6/2020 13:19:00;"Balmoral Añejo";"Rothschild Masivo";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497353";30/6/2016 11:09:17;17/3/2015 00:00:00;125.00;21.80;14600.00;14586.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO TORPEDO MK52 [5377A69AE5ECEF72]";19/2/2020 13:46:00;"Balmoral Añejo";"Torpedo MK52";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497359";30/6/2016 11:08:03;31/3/2015 00:00:00;159.00;20.60;16200.00;16186.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO CONNECTICUT PETIT ROBUSTO FT [2E732E5C7147BBDD]";23/3/2020 11:56:00;"Balmoral Añejo XO Connecticut";"Petit Robusto FT";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"496143";6/2/2020 12:00:07;8/3/2019 00:00:00;118.00;19.20;10500.00;10485.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO CONNECTICUT ROTHSCHILD MASIVO [145B5E2B16EFA69E]";26/6/2020 13:19:00;"Balmoral Añejo XO Connecticut";"Rothschild Masivo";"sans filtre";1.00;;"Boîte à couvercle basculant";"SKU";"496638";6/2/2020 12:00:07;3/7/2020 00:00:00;125.00;21.80;14600.00;14585.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO CONNECTICUT ROTHSCHILD MASIVO [B60EB865B5FEE432]";26/6/2020 13:19:00;"Balmoral Añejo XO Connecticut";"Rothschild Masivo";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"496144";6/2/2020 12:00:07;8/3/2019 00:00:00;125.00;21.80;14600.00;14585.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO GORDO [40AFB05CC679C479]";12/2/2020 11:47:00;"Balmoral Añejo XO";"Gordo";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497163";17/4/2018 14:23:42;23/4/2018 00:00:00;152.00;23.80;22500.00;22485.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO GRAN PERFECTO FT [747243E03F062FE4]";17/2/2020 15:07:00;"Balmoral Añejo XO";"Gran Perfecto FT";"sans filtre";10.00;;"Boîte à couvercle basculant";"SKU";"496159";18/7/2018 11:06:44;20/7/2018 00:00:00;135.00;23.00;19000.00;18985.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO GRAN TORO [373ACD5CA562665C]";3/3/2020 16:01:00;"Balmoral Añejo XO";"Gran Toro";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497278";6/9/2016 14:16:29;7/9/2016 00:00:00;152.00;20.60;16000.00;15986.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GORDITO [13C33C798887AA60]";12/2/2020 11:47:00;"Balmoral Añejo XO Oscuro";"Gordito";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"496194";17/4/2018 14:23:42;23/4/2018 00:00:00;102.00;23.00;14900.00;14885.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GRAN TORO [B230038B0A4D8BE6]";25/2/2020 13:28:00;"Balmoral Añejo XO Oscuro";"Gran Toro";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"496196";17/4/2018 14:23:42;23/4/2018 00:00:00;159.00;20.60;16000.00;15985.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO LANCERO FT [F8BA3A2994883EA1]";17/2/2020 15:07:00;"Balmoral Añejo XO Oscuro";"Lancero FT";"sans filtre";10.00;;"Boîte à couvercle basculant";"SKU";"496110";16/5/2019 14:12:52;20/5/2019 00:00:00;182.00;15.90;11800.00;11785.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO [3347E2FE3370E25A]";26/6/2020 13:19:00;"Balmoral Añejo XO Oscuro";"Rothschild Masivo";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"496195";17/4/2018 14:23:42;23/4/2018 00:00:00;125.00;21.80;14600.00;14585.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO [7D5FF51B1F0128CC]";26/6/2020 13:19:00;"Balmoral Añejo XO Oscuro";"Rothschild Masivo";"sans filtre";1.00;;"Boîte à couvercle basculant";"SKU";"496638";17/4/2018 14:23:42;3/7/2020 00:00:00;125.00;21.80;14600.00;14585.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO TORPEDO MK52 [B25157C9D91995F1]";2/3/2020 15:39:00;"Balmoral Añejo XO Oscuro";"Torpedo MK52";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497149";1/3/2019 10:45:31;8/3/2019 00:00:00;159.00;20.60;16200.00;16185.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO ROTHSCHILD MASIVO [2E386634DA9AA60F]";26/6/2020 13:19:00;"Balmoral Añejo XO";"Rothschild Masivo";"sans filtre";1.00;;"Boîte à couvercle basculant";"SKU";"496638";30/6/2016 11:09:17;3/7/2020 00:00:00;125.00;21.80;14600.00;14586.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL DOMINICAN SELECTION CHURCHILL TUBOS [777F9FAA1CFE4385]";3/2/2020 15:30:00;"Balmoral Dominican Selection";"Churchill Tubos";"sans filtre";3.00;;"Boîte avec couvercle coulissant";"SKU";"497795";2/8/2016 13:26:57;5/2/2013 00:00:00;170.00;19.20;13500.00;13485.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL DOMINICAN SELECTION CORONA [9C81A344C3B60057]";5/2/2020 11:39:00;"Balmoral Dominican Selection";"Corona";"sans filtre";5.00;;"Boîte avec couvercle coulissant";"SKU";"497895";2/8/2016 10:25:06;1/1/2001 00:00:00;142.00;16.60;9068.00;9066.69;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL DOMINICAN SELECTION CORONA TUBOS [FA36B69F9A3BF4E3]";5/2/2020 11:39:00;"Balmoral Dominican Selection";"Corona Tubos";"sans filtre";5.00;;"Boîte avec couvercle coulissant";"SKU";"490282";2/8/2016 10:25:06;1/1/2001 00:00:00;142.00;16.60;9068.00;9066.69;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL DOMINICAN SELECTION PANATELA [E9A78CEE1F48ED8A]";5/2/2020 11:39:00;"Balmoral Dominican Selection";"Panatela";"sans filtre";5.00;;"Boîte avec couvercle coulissant";"SKU";"498554";2/8/2016 13:01:52;1/1/2007 00:00:00;138.00;14.60;6920.00;6918.69;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL DOMINICAN SELECTION SMALL PANATELA [2398F8AF6AF7DF0D]";5/2/2020 11:39:00;"Balmoral Dominican Selection";"Small Panatela";"sans filtre";5.00;;"Boîte avec couvercle coulissant";"SKU";"498553";2/8/2016 13:12:41;1/1/2002 00:00:00;110.00;12.20;3312.00;3310.69;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ROYAL SELECTION CLARO CORONA [0C044AD6F3DA81CB]";13/2/2020 13:45:00;"Balmoral Royal Selection";"Claro Corona";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497886";21/7/2016 14:12:48;11/6/2012 00:00:00;149.00;16.80;10200.00;10188.18;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ROYAL SELECTION CLARO ROBUSTO [4094A753730055AF]";19/2/2020 13:46:00;"Balmoral Royal Selection";"Claro Robusto";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497887";22/7/2016 14:27:25;11/6/2012 00:00:00;130.00;20.60;13400.00;13389.61;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ROYAL SELECTION MADURO ROBUSTO [2C6B01FB38D20CC0]";19/2/2020 13:46:00;"Balmoral Royal Selection";"Maduro Robusto";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497888";22/7/2016 14:45:08;11/6/2012 00:00:00;130.00;20.60;13700.00;13689.69;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ROYAL SELECTION RESERVA PERLA [8EF7D74285688122]";13/2/2020 13:45:00;"Balmoral Royal Selection";"Reserva Perla";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497889";22/7/2016 11:55:06;11/7/2012 00:00:00;105.00;16.00;7100.00;7085.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ROYAL SELECTION RESERVA TORO [594AF44FD6A279E2]";19/8/2020 14:54:00;"Balmoral Royal Selection";"Reserva Toro";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"497890";21/7/2016 12:50:19;11/6/2012 00:00:00;140.00;21.80;16300.00;16285.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"BEAST ROBUSTO [EF9DBC4E2D490708]";20/2/2020 15:58:00;"Beast";"Robusto";"sans filtre";1.00;;"Pochette à maintien vertical avec rabat replié";"-";"592";16/11/2017 15:54:34;1/12/2017 00:00:00;125.00;20.00;13500.00;11519.42;;;;;;;
"FR";"Produit du tabac";"Cigare";"BEAST SHORT ROBUSTO [236664DED1D5FD01]";14/8/2020 10:09:00;"Beast";"Short Robusto";"sans filtre";1.00;;"Pochette à maintien vertical avec rabat replié";"-";"590";16/11/2017 15:54:34;1/12/2017 00:00:00;100.00;21.00;13000.00;11297.77;;;;;;;
"FR";"Produit du tabac";"Cigare";"BEAST TORO [819CCFFB99FBB437]";14/8/2020 10:09:00;"Beast";"Toro";"sans filtre";1.00;;"Pochette à maintien vertical avec rabat replié";"-";"596";16/11/2017 15:54:34;1/12/2017 00:00:00;150.00;20.00;15500.00;13163.50;;;;;;;
"FR";"Produit du tabac";"Cigare";"BENTLEY BELICOSO [A145AF4584F38A61]";8/1/2020 12:20:00;"Bentley";"Belicoso";"sans filtre";5.00;;"Boîte pliable";"-";"150505";3/4/2019 17:21:15;11/9/2017 00:00:00;152.00;20.60;15880.00;15830.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BENTLEY CHURCHILLS [DAC72C444CC45349]";8/1/2020 12:20:00;"Bentley";"Churchills";"sans filtre";5.00;;"Boîte pliable";"-";"150305";3/4/2019 17:21:15;11/9/2017 00:00:00;178.00;21.40;20320.00;20250.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BENTLEY CORONA [338E8ED22D8274CF]";8/1/2020 12:20:00;"Bentley";"Corona";"sans filtre";5.00;;"Boîte pliable";"-";"150205";3/4/2019 17:23:54;11/9/2017 00:00:00;140.00;18.30;11620.00;11590.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BENTLEY HALF CORONA [AFD702643080FFD8]";8/1/2020 12:20:00;"Bentley";"Half Corona";"sans filtre";5.00;"30";"Boîte pliable";"-";"150405";3/4/2019 17:21:15;11/9/2017 00:00:00;95.00;18.30;7940.00;7910.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BENTLEY ROBUSTO [35370345E5FB72FD]";8/1/2020 12:20:00;"Bentley";"Robusto";"sans filtre";5.00;;"Boîte pliable";"-";"150105";3/4/2019 17:21:15;11/9/2017 00:00:00;127.00;19.80;12560.00;12510.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BESPOKE CIGARS  [4C5DF8ED58A4FFAF]";27/1/2020 12:31:00;"Bespoke Cigars";;"sans filtre";20.00;;"Boîte à couvercle basculant";"-";"01410-12-20020";22/11/2016 15:27:11;15/1/2017 00:00:00;127.00;25.40;17500.00;16913.75;;;;;;;
"FR";"Produit du tabac";"Cigare";"BESPOKE CIGARS  [99F009EC30A92006]";27/1/2020 12:31:00;"Bespoke Cigars";;"sans filtre";25.00;;"Boîte à glissière";"-";"01410-16-20050";22/11/2016 15:27:01;1/9/2019 00:00:00;101.60;18.26;6000.00;5799.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BESPOKE CIGARS  [B9032345B2ACE361]";27/1/2020 12:31:00;"Bespoke Cigars";;"sans filtre";50.00;;"Boîte à glissière";"-";"01410-16-20050";22/11/2016 15:27:01;15/1/2017 00:00:00;101.60;18.26;6000.00;5799.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"BLANCO LIGA EXCLUSIVA DE FAMILIA CONNECTICUT TORO [D3993342EA4ABF41]";27/1/2020 19:56:00;"Blanco";"Liga Exclusiva de Familia Connecticut Toro";"sans filtre";20.00;;"Fagot";"-";"962";11/7/2018 10:52:42;24/3/2017 00:00:00;152.40;21.43;16200.00;15957.00;;;;;;;
